Snapshot_Month,App_Name,Total_Volume_Mn,Total_Value_Cr,Network_Volume,Market_Share_Pct,Market_Share_Squared
2022-04-01,PhonePe,2616.26,486557.03,5682.79,46.038301608892816,2119.5252150313827
2022-04-01,Google Pay,1914.77,344791.35,5682.79,33.69418894592269,1135.2983687235387
2022-04-01,Paytm,851.61,101649.06,5682.79,14.985772833414574,224.57338741470625
2022-04-01,Amazon Pay,73.21,6699.57,5682.79,1.288275653332254,1.6596541589686458
2022-04-01,Axis Bank Apps,64.03,1257.15,5682.79,1.126735283197162,1.2695323984013889
2022-04-01,ICICI Bank Apps,37.65,9356.17,5682.79,0.6625266814364071,0.4389416036151385
2022-04-01,Yes Bank Apps,34.07,10246.99,5682.79,0.5995294564817634,0.35943556918931857
2022-04-01,BHIM,25.69,8354.34,5682.79,0.4520666785153068,0.20436428182386174
2022-04-01,Cred,13.05,16372.92,5682.79,0.22964072225086624,0.05273486131589949
2022-04-01,Kotak Mahindra Bank Apps,7.96,1684.35,5682.79,0.14007204207792298,0.019620176971879427
2022-04-01,HDFC Bank Apps,5.9,1759.12,5682.79,0.10382224224368664,0.01077905798450675
2022-04-01,Airtel Payments Bank Apps,5.3,460.9,5682.79,0.09326404811721004,0.00869818267120927
2022-04-01,State Bank of India Apps,4.03,2118.0,5682.79,0.07091587054950123,0.0050290606957936156
2022-04-01,Samsung Pay,3.81,470.11,5682.79,0.06704453270312646,0.0044949693653805935
2022-04-01,India Post Payments Bank Apps,2.8,328.53,5682.79,0.04927157259022417,0.0024276878655137297
2022-04-01,Federal Bank Apps,2.7,375.64,5682.79,0.04751187356914474,0.0022573781300503945
2022-04-01,WhatsApp,2.5,242.4,5682.79,0.04399247552698587,0.0019353379029924504
2022-04-01,IDFC Bank Apps,2.49,532.69,5682.79,0.043816505624877926,0.001919886165174959
2022-04-01,Mobikwik,2.37,421.47,5682.79,0.0417048667995826,0.001739295914770927
2022-04-01,Jio Payments Bank Apps,2.1,126.25,5682.79,0.03695367944266813,0.001365574424351473
2022-04-01,Deutsche Bank Apps,1.51,128.43,5682.79,0.02657145521829946,0.0007060422324180936
2022-04-01,Jupiter,1.47,186.13,5682.79,0.025867575609867688,0.0006691314679322217
2022-04-01,IndusInd Bank Apps,1.02,2596.71,5682.79,0.01794893001501023,0.00032216408868373516
2022-04-01,Bank of Baroda Apps,0.77,344.65,5682.79,0.013549682462311646,0.00018359389482947578
2022-04-01,Groww,0.61,376.18,5682.79,0.01073416402858455,0.00011522227739255851
2022-04-01,Bajaj Finserv,0.52,38.61,5682.79,0.009150434909613061,8.373045903506538e-05
2022-04-01,DBS Digibank Apps,0.47,175.45,5682.79,0.008270585399073343,6.840258284336516e-05
2022-04-01,Union Bank Apps,0.42,198.34,5682.79,0.007390735888533625,5.462297697405891e-05
2022-04-01,TataNeu,0.35,32.82,5682.79,0.006158946573778021,3.7932622898652026e-05
2022-04-01,AU Small Finance Bank Apps,0.32,109.89,5682.79,0.005631036867454191,3.1708576202628303e-05
2022-04-01,Canara Bank Apps,0.31,110.31,5682.79,0.005455066965346247,2.9757755596411912e-05
2022-04-01,RBL Bank Apps,0.3,113.65,5682.79,0.0052790970632383034,2.786886580309128e-05
2022-04-01,Karnataka Bank Apps,0.27,35.58,5682.79,0.004751187356914473,2.2573781300503937e-05
2022-04-01,UCO Bank Apps,0.21,41.48,5682.79,0.0036953679442668125,1.3655744243514728e-05
2022-04-01,MI Pay,0.19,28.58,5682.79,0.0033434281400509256,1.1178511727684392e-05
2022-04-01,Fave,0.18,7.73,5682.79,0.003167458237942982,1.003279168911286e-05
2022-04-01,Indian Bank Apps,0.14,49.9,5682.79,0.0024635786295112085,6.069219663784324e-06
2022-04-01,Central Bank of India Apps,0.13,51.04,5682.79,0.0022876087274032652,5.2331536896915865e-06
2022-04-01,South Indian Bank Apps,0.13,45.03,5682.79,0.0022876087274032652,5.2331536896915865e-06
2022-04-01,Standard Chartered Bank Apps,0.12,68.15,5682.79,0.0021116388252953215,4.459018528494606e-06
2022-04-01,HSBC Bank Apps,0.11,59.72,5682.79,0.0019356689231873779,3.746814180193383e-06
2022-04-01,Bank of India Apps,0.1,32.62,5682.79,0.0017596990210794348,3.0965406447879214e-06
2022-04-01,MakeMyTrip,0.09,41.18,5682.79,0.001583729118971491,2.508197922278215e-06
2022-04-01,Punjab National Bank Apps,0.09,46.27,5682.79,0.001583729118971491,2.508197922278215e-06
2022-04-01,Citi Bank Apps,0.08,66.03,5682.79,0.0014077592168635477,1.981786012664269e-06
2022-04-01,Finshell Pay,0.08,4.45,5682.79,0.0014077592168635477,1.981786012664269e-06
2022-04-01,Cointab,0.07,28.5,5682.79,0.0012317893147556042,1.517304915946081e-06
2022-04-01,YuvaPay,0.06,103.34,5682.79,0.0010558194126476608,1.1147546321236514e-06
2022-04-01,Bank of Maharashtra Apps,0.05,14.56,5682.79,0.0008798495105397174,7.741351611969804e-07
2022-04-01,Fino Payments bank Apps,0.04,3.26,5682.79,0.0007038796084317738,4.954465031660672e-07
2022-04-01,Karur Vysya Bank Apps,0.04,18.54,5682.79,0.0007038796084317738,4.954465031660672e-07
2022-04-01,City Union Bank Apps,0.03,8.41,5682.79,0.0005279097063238304,2.7868865803091286e-07
2022-04-01,IDBI Bank Apps,0.03,16.78,5682.79,0.0005279097063238304,2.7868865803091286e-07
2022-04-01,Ultracash,0.03,2.22,5682.79,0.0005279097063238304,2.7868865803091286e-07
2022-04-01,NSDL Payments Bank Apps,0.02,2.32,5682.79,0.0003519398042158869,1.238616257915168e-07
2022-04-01,SuperPay,0.02,0.4,5682.79,0.0003519398042158869,1.238616257915168e-07
2022-04-01,Others,0.02,8.26,5682.79,0.0003519398042158869,1.238616257915168e-07
2022-04-01,Dhanlaxmi Bank Apps,0.01,3.02,5682.79,0.00017596990210794346,3.09654064478792e-08
2022-04-01,Finserv Markets,0.01,1.06,5682.79,0.00017596990210794346,3.09654064478792e-08
2022-04-01,GoIbibo,0.01,3.31,5682.79,0.00017596990210794346,3.09654064478792e-08
2022-04-01,Indian Overseas Bank Apps,0.01,1.52,5682.79,0.00017596990210794346,3.09654064478792e-08
2022-04-01,Janata Sahakari Bank Apps,0.01,4.28,5682.79,0.00017596990210794346,3.09654064478792e-08
2022-04-01,Jupiter Edge (LivQuick PPI App),0.01,0.43,5682.79,0.00017596990210794346,3.09654064478792e-08
2022-04-01,Punjab Sind Bank Apps,0.01,5.38,5682.79,0.00017596990210794346,3.09654064478792e-08
2022-04-01,Tamilnad Mercantile Bank Apps,0.01,0.26,5682.79,0.00017596990210794346,3.09654064478792e-08
2022-04-01,Utkarsh Small Finance Bank Apps,0.01,3.88,5682.79,0.00017596990210794346,3.09654064478792e-08
2022-05-01,PhonePe,2778.75,511028.81,6057.96,45.86940158073015,2104.0020013742896
2022-05-01,Google Pay,2079.92,365989.27,6057.96,34.33367008035709,1178.8009011868076
2022-05-01,Paytm,887.45,108276.78,6057.96,14.649320893502104,214.60260264079727
2022-05-01,Amazon Pay,74.83,6954.18,6057.96,1.2352343032968194,1.5258037840411787
2022-05-01,Axis Bank Apps,58.66,1425.16,6057.96,0.9683127653533532,0.937629611546258
2022-05-01,Yes Bank Apps,39.69,11760.16,6057.96,0.6551710476794168,0.42924910171734465
2022-05-01,ICICI Bank Apps,37.59,11056.9,6057.96,0.6205059128815641,0.3850275879209832
2022-05-01,BHIM,26.57,9559.66,6057.96,0.43859649122807015,0.1923668821175746
2022-05-01,Cred,13.89,18174.61,6057.96,0.229285105877226,0.05257165977713074
2022-05-01,Kotak Mahindra Bank Apps,8.5,1885.0,6057.96,0.14031125989607063,0.019687249653622677
