Sr. No.,Remitter Bank,Total Volume,Approved%,BD%,TD%,Year,Month,Remitter Bank Clean,Bank_Type,TD_Percent,BD_Percent,Approved_Percent
1,State Bank Of India,408816,0.9044,0.0935,0.0021,2022,september,state bank of india,Public Sector,0.21,9.35,90.44
2,HDFC BANK,235874,0.9362,0.0629,0.0009,2022,september,hdfc bank,Private Sector,0.09,6.29,93.62
3,ICICI Bank,157074,0.9498,0.0472,0.0029,2022,september,icici bank,Private Sector,0.29,4.72,94.98
4,Bank of Baroda,153539,0.9126,0.0867,0.0007,2022,september,bank of baroda,Public Sector,0.06999999999999999,8.67,91.25999999999999
5,Axis Bank,98757,0.9281,0.0684,0.0035,2022,september,axis bank,Private Sector,0.35000000000000003,6.84,92.81
6,Punjab National Bank,65136,0.9148,0.0767,0.0085,2022,september,punjab national bank,Public Sector,0.8500000000000001,7.670000000000001,91.47999999999999
7,Kotak Mahindra Bank,62994,0.9364,0.0629,0.0007,2022,september,kotak mahindra bank,Private Sector,0.06999999999999999,6.29,93.64
8,Bank of India,62257,0.9331,0.0651,0.0018,2022,september,bank of india,Public Sector,0.18,6.510000000000001,93.31
9,Union Bank of India,55851,0.9248,0.073,0.0022,2022,september,union bank of india,Public Sector,0.22,7.3,92.47999999999999
10,Canara Bank,34477,0.9203,0.0764,0.0033,2022,september,canara bank,Public Sector,0.33,7.64,92.03
11,IDBI Bank Limited,27073,0.9421,0.0574,0.0005,2022,september,idbi bank limited,Public Sector,0.05,5.74,94.21000000000001
12,Central Bank Of India,26220,0.9053,0.0703,0.0243999999999999,2022,september,central bank of india,Public Sector,2.43999999999999,7.03,90.53
13,Indian Bank,17296,0.7944,0.1871999999999999,0.0184,2022,september,indian bank,Public Sector,1.8399999999999999,18.719999999999988,79.44
14,Indusind Bank,14655,0.9163,0.0821,0.0016,2022,september,indusind bank,Private Sector,0.16,8.21,91.63
15,IDFC FIRST Bank,12359,0.89,0.0931,0.0169,2022,september,idfc first bank,Private Sector,1.69,9.31,89.0
16,Yes Bank,12023,0.8795999999999999,0.1199,0.0006,2022,september,yes bank,Private Sector,0.06,11.99,87.96
17,Bank of Maharashtra,10563,0.9122,0.0744,0.0133,2022,september,bank of maharashtra,Public Sector,1.3299999999999998,7.4399999999999995,91.22
18,UCO Bank,11408,0.8045,0.1898999999999999,0.0056,2022,september,uco bank,Public Sector,0.5599999999999999,18.98999999999999,80.45
19,Indian Overseas Bank,8069,0.8937,0.1036999999999999,0.0026,2022,september,indian overseas bank,Public Sector,0.26,10.36999999999999,89.37
20,The Mehsana Urban Co-Operative Bank,7700,0.9344,0.0651,0.0005,2022,september,the mehsana urban co-operative bank,Other/Cooperative,0.05,6.510000000000001,93.44
21,Citi Bank,6666,0.9502,0.0474,0.0024,2022,september,citi bank,Private Sector,0.24,4.74,95.02000000000001
22,Federal Bank,6361,0.8745,0.1244,0.0011,2022,september,federal bank,Private Sector,0.11,12.44,87.45
23,AU Small Finance bank,5273,0.9025,0.0918,0.0057,2022,september,au small finance bank,Other/Cooperative,0.5700000000000001,9.180000000000001,90.25
24,Rajkot Nagrik Sahakari Bank,5157,0.9069,0.0648,0.0283,2022,september,rajkot nagrik sahakari bank,Other/Cooperative,2.83,6.4799999999999995,90.69
25,Tamilnad Mercantile Bank,5059,0.8623999999999999,0.1369999999999999,0.0006,2022,september,tamilnad mercantile bank,Other/Cooperative,0.06,13.69999999999999,86.24
26,Standard Chartered,4539,0.9317,0.0668,0.0015,2022,september,standard chartered,Private Sector,0.15,6.68,93.17
27,Saraswat Bank,4593,0.8765999999999999,0.1202,0.0033,2022,september,saraswat bank,Other/Cooperative,0.33,12.02,87.66
28,Bandhan Bank,3941,0.8815000000000001,0.0726,0.0458999999999999,2022,september,bandhan bank,Private Sector,4.58999999999999,7.26,88.15
29,Karnataka Bank,3921,0.8847,0.0775,0.0377,2022,september,karnataka bank,Private Sector,3.7699999999999996,7.75,88.47
30,Karur Vysya Bank,3282,0.851,0.1456,0.0034,2022,september,karur vysya bank,Private Sector,0.33999999999999997,14.56,85.1
31,South Indian Bank,2606,0.9117,0.0875,0.0008,2022,september,south indian bank,Private Sector,0.08,8.75,91.17
32,Kalupur Commercial Cooperative Bank,2641,0.8709,0.0875,0.0417,2022,september,kalupur commercial cooperative bank,Other/Cooperative,4.17,8.75,87.09
33,DBS Bank,2721,0.9383,0.0599,0.0018,2022,september,dbs bank,Private Sector,0.18,5.99,93.83
34,City Union Bank,2021,0.8649,0.1024,0.0327,2022,september,city union bank,Private Sector,3.27,10.24,86.49
35,Equitas Bank,1911,0.8931999999999999,0.0319,0.0748,2022,september,equitas bank,Other/Cooperative,7.48,3.19,89.32
36,Punjab and Sind Bank,1805,0.9235,0.0693,0.0072,2022,september,punjab and sind bank,Public Sector,0.72,6.93,92.35
37,RBL,1837,0.8922,0.1067,0.0011,2022,september,rbl,Private Sector,0.11,10.67,89.22
38,DCB Bank,1145,0.883,0.1169999999999999,0.0,2022,september,dcb bank,Private Sector,0.0,11.69999999999999,88.3
39,HSBC,1019,0.9421,0.0324,0.0255,2022,september,hsbc,Other/Cooperative,2.55,3.2399999999999998,94.21000000000001
40,Svc co-operative Bank,1016,0.9321,0.064,0.0039,2022,september,svc co-operative bank,Other/Cooperative,0.38999999999999996,6.4,93.21000000000001
41,Surat People Cooperative Bank,999,0.9019,0.0861,0.012,2022,september,surat people cooperative bank,Other/Cooperative,1.2,8.61,90.19
42,THE AHMEDABAD MERCANTILE CO OP BANK,820,0.9366,0.0305,0.0329,2022,september,the ahmedabad mercantile co op bank,Other/Cooperative,3.29,3.05,93.66
43,TJSB,815,0.8945000000000001,0.1031,0.0025,2022,september,tjsb,Other/Cooperative,0.25,10.31,89.45
44,Jammu and Kashmir Bank,661,0.7489,0.2239,0.0272,2022,september,jammu and kashmir bank,Other/Cooperative,2.7199999999999998,22.39,74.89
45,Janata Sahakari Bank Pune,358,0.9162,0.081,0.0028,2022,september,janata sahakari bank pune,Other/Cooperative,0.27999999999999997,8.1,91.62
46,Dhanlaxmi Bank,285,0.8421,0.1543999999999999,0.0035,2022,september,dhanlaxmi bank,Other/Cooperative,0.35000000000000003,15.43999999999999,84.21
47,GP PARSIK BANK,172,0.9302,0.0698,0.0,2022,september,gp parsik bank,Other/Cooperative,0.0,6.98,93.02
48,Catholic Syrian Bank,197,0.802,0.1574,0.0406,2022,september,catholic syrian bank,Other/Cooperative,4.06,15.740000000000002,80.2
1,State Bank Of India,377418,0.9181,0.0791,0.0028,2022,october,state bank of india,Public Sector,0.27999999999999997,7.91,91.81
2,HDFC BANK LTD,205454,0.9428,0.0564,0.0009,2022,october,hdfc bank ltd,Other/Cooperative,0.09,5.64,94.28
3,ICICI Bank,138168,0.9574,0.0412,0.0014,2022,october,icici bank,Private Sector,0.13999999999999999,4.12,95.74000000000001
4,Bank of Baroda,141719,0.9262,0.0727,0.0012,2022,october,bank of baroda,Public Sector,0.12,7.2700000000000005,92.62
5,Axis Bank Ltd.,89014,0.9146,0.0852,0.0002,2022,october,axis bank ltd.,Other/Cooperative,0.02,8.52,91.46
6,Punjab National Bank,62585,0.9151,0.0752,0.0097,2022,october,punjab national bank,Public Sector,0.97,7.5200000000000005,91.51
7,Bank of India,58321,0.9412,0.0584,0.0004,2022,october,bank of india,Public Sector,0.04,5.84,94.12
8,Kotak Mahindra Bank,56579,0.9416,0.0576999999999999,0.0007,2022,october,kotak mahindra bank,Private Sector,0.06999999999999999,5.76999999999999,94.16
9,Union Bank of India,52751,0.9273,0.0689,0.0039,2022,october,union bank of india,Public Sector,0.38999999999999996,6.890000000000001,92.73
10,Canara Bank,31821,0.9294,0.0686,0.002,2022,october,canara bank,Public Sector,0.2,6.859999999999999,92.94
11,IDBI Bank Limited,24901,0.9427,0.0566,0.0007,2022,october,idbi bank limited,Public Sector,0.06999999999999999,5.66,94.27
12,Central Bank Of India,24514,0.9142,0.0656,0.0202,2022,october,central bank of india,Public Sector,2.02,6.5600000000000005,91.42
13,Indian Bank,15242,0.8118000000000001,0.1415,0.0467,2022,october,indian bank,Public Sector,4.67,14.149999999999999,81.18
14,INDUSIND BANK,12645,0.9272,0.0712,0.0016,2022,october,indusind bank,Private Sector,0.16,7.12,92.72
15,Yes Bank Ltd,10637,0.8925,0.1073,0.0002,2022,october,yes bank ltd,Other/Cooperative,0.02,10.73,89.25
16,IDFC FIRST Bank,10224,0.9076,0.084,0.0084,2022,october,idfc first bank,Private Sector,0.84,8.4,90.75999999999999
17,UCO Bank,10398,0.856,0.1409,0.0031,2022,october,uco bank,Public Sector,0.31,14.09,85.6
18,Bank of Maharashtra,9258,0.9253,0.0705,0.0042,2022,october,bank of maharashtra,Public Sector,0.42,7.049999999999999,92.53
19,The Mehsana Urban Co-Operative Bank Ltd.,8265,0.907,0.0929,0.0001,2022,october,the mehsana urban co-operative bank ltd.,Other/Cooperative,0.01,9.29,90.7
20,Indian Overseas Bank,6792,0.915,0.0838,0.0012,2022,october,indian overseas bank,Public Sector,0.12,8.38,91.5
21,Citibank,5521,0.9587,0.0406,0.0007,2022,october,citibank,Other/Cooperative,0.06999999999999999,4.06,95.87
22,Federal Bank,5565,0.8954000000000001,0.1043999999999999,0.0002,2022,october,federal bank,Private Sector,0.02,10.439999999999989,89.54
23,Rajkot Nagrik Sahakari Bank Ltd.,5078,0.9506,0.0494,0.0,2022,october,rajkot nagrik sahakari bank ltd.,Other/Cooperative,0.0,4.9399999999999995,95.06
24,AU Small Finance bank,4360,0.9117,0.0842,0.0041,2022,october,au small finance bank,Other/Cooperative,0.41000000000000003,8.42,91.17
25,Saraswat Bank,3984,0.8941,0.0954,0.0105,2022,october,saraswat bank,Other/Cooperative,1.05,9.54,89.41
26,Standard Chartered,3687,0.9512,0.048,0.0008,2022,october,standard chartered,Private Sector,0.08,4.8,95.12
27,Bandhan Bank,3822,0.9071,0.078,0.0149,2022,october,bandhan bank,Private Sector,1.49,7.8,90.71000000000001
28,Karnataka Bank,3700,0.8008,0.033,0.1662,2022,october,karnataka bank,Private Sector,16.619999999999997,3.3000000000000003,80.08
29,Kalupur Commercial Cooperative Bank,2365,0.9374,0.0584,0.0042,2022,october,kalupur commercial cooperative bank,Other/Cooperative,0.42,5.84,93.74
30,Karur Vysya Bank,2470,0.8915000000000001,0.1081,0.0004,2022,october,karur vysya bank,Private Sector,0.04,10.81,89.15
31,South Indian Bank,2373,0.9145,0.0855,0.0,2022,october,south indian bank,Private Sector,0.0,8.55,91.45
32,DBS BANK LTD,2201,0.9414,0.0581,0.0005,2022,october,dbs bank ltd,Other/Cooperative,0.05,5.81,94.14
33,Tamilnad Mercantile Bank,1640,0.914,0.0848,0.0012,2022,october,tamilnad mercantile bank,Other/Cooperative,0.12,8.48,91.4
34,Equitas Bank,1543,0.9106,0.0265,0.0629,2022,october,equitas bank,Other/Cooperative,6.29,2.65,91.06
35,Punjab and Sind Bank,1729,0.8051,0.1775,0.0174,2022,october,punjab and sind bank,Public Sector,1.7399999999999998,17.75,80.51
36,RBL,1544,0.897,0.0978,0.0052,2022,october,rbl,Private Sector,0.52,9.78,89.7
37,City Union Bank,1164,0.9124,0.0842,0.0034,2022,october,city union bank,Private Sector,0.33999999999999997,8.42,91.24
38,HSBC,1003,0.9442,0.0189,0.0369,2022,october,hsbc,Other/Cooperative,3.6900000000000004,1.8900000000000001,94.42
39,DCB Bank Ltd,1005,0.9045,0.0935,0.002,2022,october,dcb bank ltd,Other/Cooperative,0.2,9.35,90.45
40,Surat People Cooperative Bank,966,0.9017,0.0952,0.0031,2022,october,surat people cooperative bank,Other/Cooperative,0.31,9.520000000000001,90.16999999999999
41,Svc co-operative bank ltd,884,0.9084,0.0542999999999999,0.0373,2022,october,svc co-operative bank ltd,Other/Cooperative,3.73,5.42999999999999,90.84
42,THE AHMEDABAD MERCANTILE CO OP BANK LTD,766,0.9426,0.0235,0.0339,2022,october,the ahmedabad mercantile co op bank ltd,Other/Cooperative,3.39,2.35,94.26
43,TJSB,766,0.8629000000000001,0.1018999999999999,0.0352,2022,october,tjsb,Other/Cooperative,3.52,10.189999999999989,86.29
44,Jammu and Kashmir Bank,704,0.7983,0.1903,0.0113999999999999,2022,october,jammu and kashmir bank,Other/Cooperative,1.13999999999999,19.03,79.83
45,Janata Sahakari Bank Ltd. Pune,298,0.9128,0.0872,0.0,2022,october,janata sahakari bank ltd. pune,Other/Cooperative,0.0,8.72,91.28
46,Dhanlaxmi Bank Ltd,241,0.8631,0.1369,0.0,2022,october,dhanlaxmi bank ltd,Other/Cooperative,0.0,13.69,86.31
47,Catholic Syrian Bank,173,0.8266,0.1561,0.0173,2022,october,catholic syrian bank,Other/Cooperative,1.73,15.61,82.66
48,GP PARSIK BANK,151,0.9007,0.0993,0.0,2022,october,gp parsik bank,Other/Cooperative,0.0,9.93,90.07
1,HDFC BANK LTD,866,0.8961,0.0739,0.03,2022,june,hdfc bank ltd,Other/Cooperative,3.0,7.39,89.61
2,State Bank Of India,845,0.8426,0.0947,0.0627,2022,june,state bank of india,Public Sector,6.2700000000000005,9.47,84.26
3,ICICI Bank,611,0.9313,0.0458,0.0229,2022,june,icici bank,Private Sector,2.29,4.58,93.13
4,Axis Bank Ltd.,266,0.8985,0.0789,0.0226,2022,june,axis bank ltd.,Other/Cooperative,2.26,7.89,89.85
5,Bank of Baroda,240,0.8,0.0833,0.1167,2022,june,bank of baroda,Public Sector,11.67,8.33,80.0
6,Kotak Mahindra Bank,177,0.8814,0.0847,0.0339,2022,june,kotak mahindra bank,Private Sector,3.39,8.469999999999999,88.14
7,Bank of India,112,0.9018,0.0536,0.0446,2022,june,bank of india,Public Sector,4.46,5.36,90.18
8,Union Bank of India,108,0.9074,0.0741,0.0185,2022,june,union bank of india,Public Sector,1.8499999999999999,7.41,90.74
9,Punjab National Bank,97,0.8556999999999999,0.0825,0.0619,2022,june,punjab national bank,Public Sector,6.1899999999999995,8.25,85.57
10,Canara Bank,77,0.8442000000000001,0.1299,0.026,2022,june,canara bank,Public Sector,2.6,12.989999999999998,84.42
11,IDBI Bank Limited,64,0.8906000000000001,0.0938,0.0156,2022,june,idbi bank limited,Public Sector,1.5599999999999998,9.379999999999999,89.06
12,INDUSIND BANK,60,0.9,0.1,0.0,2022,june,indusind bank,Private Sector,0.0,10.0,90.0
13,Citibank,52,0.9231,0.0,0.0769,2022,june,citibank,Other/Cooperative,7.6899999999999995,0.0,92.31
14,Yes Bank Ltd,48,0.7707999999999999,0.1667,0.0625,2022,june,yes bank ltd,Other/Cooperative,6.25,16.669999999999998,77.08
15,AU Small Finance bank,47,0.9149,0.0851,0.0,2022,june,au small finance bank,Other/Cooperative,0.0,8.51,91.49000000000001
16,Central Bank Of India,37,0.8919,0.027,0.0811,2022,june,central bank of india,Public Sector,8.110000000000001,2.7,89.19
17,IDFC FIRST Bank,37,0.9189,0.027,0.0541,2022,june,idfc first bank,Private Sector,5.41,2.7,91.89
18,Federal Bank,36,0.9444,0.0556,0.0,2022,june,federal bank,Private Sector,0.0,5.56,94.44
19,The Mehsana Urban Co-Operative Bank Ltd.,29,0.9655,0.0345,0.0,2022,june,the mehsana urban co-operative bank ltd.,Other/Cooperative,0.0,3.45,96.55
20,Bank of Maharashtra,24,0.7082999999999999,0.2917,0.0,2022,june,bank of maharashtra,Public Sector,0.0,29.17,70.83
21,Indian Bank,25,0.96,0.04,0.0,2022,june,indian bank,Public Sector,0.0,4.0,96.0
22,Karur Vysya Bank,23,0.7826000000000001,0.0,0.2173999999999999,2022,june,karur vysya bank,Private Sector,21.73999999999999,0.0,78.26
23,Indian Overseas Bank,20,0.85,0.15,0.0,2022,june,indian overseas bank,Public Sector,0.0,15.0,85.0
24,UCO Bank,19,0.5789,0.3684,0.0526,2022,june,uco bank,Public Sector,5.26,36.84,57.89
25,South Indian Bank,17,1.0,0.0,0.0,2022,june,south indian bank,Private Sector,0.0,0.0,100.0
26,Equitas Small Finance Bank,15,0.8667,0.0,0.1333,2022,june,equitas small finance bank,Other/Cooperative,13.33,0.0,86.67
27,Rajkot Nagrik Sahakari Bank Ltd.,15,0.8667,0.0,0.1333,2022,june,rajkot nagrik sahakari bank ltd.,Other/Cooperative,13.33,0.0,86.67
28,DBS Bank India Limited,14,1.0,0.0,0.0,2022,june,dbs bank india limited,Other/Cooperative,0.0,0.0,100.0
29,Standard Chartered,13,0.9231,0.0769,0.0,2022,june,standard chartered,Private Sector,0.0,7.6899999999999995,92.31
30,Karnataka Bank,12,0.3333,0.4167,0.25,2022,june,karnataka bank,Private Sector,25.0,41.67,33.33
31,City Union Bank,10,0.9,0.1,0.0,2022,june,city union bank,Private Sector,0.0,10.0,90.0
32,Bandhan Bank,9,0.7778,0.2221999999999999,0.0,2022,june,bandhan bank,Private Sector,0.0,22.219999999999988,77.78
33,DCB Bank Ltd,8,0.875,0.125,0.0,2022,june,dcb bank ltd,Other/Cooperative,0.0,12.5,87.5
34,Punjab and Sind Bank,8,0.75,0.25,0.0,2022,june,punjab and sind bank,Public Sector,0.0,25.0,75.0
35,RBL,7,0.7143,0.1429,0.1429,2022,june,rbl,Private Sector,14.29,14.29,71.43
36,Dhanlaxmi Bank Ltd,5,1.0,0.0,0.0,2022,june,dhanlaxmi bank ltd,Other/Cooperative,0.0,0.0,100.0
37,Saraswat Bank,5,0.8,0.0,0.2,2022,june,saraswat bank,Other/Cooperative,20.0,0.0,80.0
38,Jammu and Kashmir Bank,4,0.5,0.25,0.25,2022,june,jammu and kashmir bank,Other/Cooperative,25.0,25.0,50.0
39,Tamilnad Mercantile Bank,3,1.0,0.0,0.0,2022,june,tamilnad mercantile bank,Other/Cooperative,0.0,0.0,100.0
40,Catholic Syrian Bank,1,1.0,0.0,0.0,2022,june,catholic syrian bank,Other/Cooperative,0.0,0.0,100.0
41,GP PARSIK BANK,1,1.0,0.0,0.0,2022,june,gp parsik bank,Other/Cooperative,0.0,0.0,100.0
42,Janata Sahakari Bank Ltd. Pune,1,1.0,0.0,0.0,2022,june,janata sahakari bank ltd. pune,Other/Cooperative,0.0,0.0,100.0
43,The Kalupur Commercial Co-op Bank,1,0.0,1.0,0.0,2022,june,the kalupur commercial co-op bank,Other/Cooperative,0.0,100.0,0.0
44,Svc co-operative bank ltd,1,1.0,0.0,0.0,2022,june,svc co-operative bank ltd,Other/Cooperative,0.0,0.0,100.0
45,The Ahmedabad Mercantile Co-op Bank Ltd,1,1.0,0.0,0.0,2022,june,the ahmedabad mercantile co-op bank ltd,Other/Cooperative,0.0,0.0,100.0
46,TJSB Sahakari Bank Ltd,1,1.0,0.0,0.0,2022,june,tjsb sahakari bank ltd,Other/Cooperative,0.0,0.0,100.0
1,State Bank of India,2562,0.5059,0.0785,0.4156,2022,july,state bank of india,Public Sector,41.56,7.85,50.59
2,HDFC Bank Ltd.,1915,0.9191,0.0768,0.0041,2022,july,hdfc bank ltd.,Other/Cooperative,0.41000000000000003,7.68,91.91
3,ICICI Bank,1170,0.9265,0.0598,0.0137,2022,july,icici bank,Private Sector,1.37,5.9799999999999995,92.65
4,Axis Bank,654,0.8776999999999999,0.0994,0.0229,2022,july,axis bank,Private Sector,2.29,9.94,87.77
5,Bank of Baroda,516,0.8604999999999999,0.1336999999999999,0.0058,2022,july,bank of baroda,Public Sector,0.58,13.36999999999999,86.05
6,Kotak Mahindra Bank,413,0.8862000000000001,0.0993,0.0144999999999999,2022,july,kotak mahindra bank,Private Sector,1.44999999999999,9.93,88.62
7,Punjab National Bank,355,0.7662,0.2113,0.0225,2022,july,punjab national bank,Public Sector,2.25,21.13,76.62
8,Union Bank of India,292,0.9031,0.0969,0.0,2022,july,union bank of india,Public Sector,0.0,9.69,90.31
9,Bank of India,280,0.9179,0.0679,0.0141999999999999,2022,july,bank of india,Public Sector,1.41999999999999,6.79,91.79
10,Canara Bank,175,0.8229000000000001,0.0743,0.1027999999999999,2022,july,canara bank,Public Sector,10.27999999999999,7.430000000000001,82.29
11,Yes Bank,172,0.9302,0.064,0.0058,2022,july,yes bank,Private Sector,0.58,6.4,93.02
12,IDBI Bank Limited,142,0.8873000000000001,0.1056,0.0071,2022,july,idbi bank limited,Public Sector,0.7100000000000001,10.56,88.73
13,IDFC FIRST Bank,139,0.8273,0.1295,0.0432,2022,july,idfc first bank,Private Sector,4.32,12.950000000000001,82.73
14,Indusind Bank,138,0.8768,0.1159,0.0073,2022,july,indusind bank,Private Sector,0.73,11.59,87.68
15,AU Small Finance Bank,102,0.9118,0.0882,0.0,2022,july,au small finance bank,Other/Cooperative,0.0,8.82,91.18
16,Central Bank of India,99,0.8889,0.0808,0.0302999999999999,2022,july,central bank of india,Public Sector,3.02999999999999,8.08,88.89
17,Citibank N.A,81,0.9383,0.0617,0.0,2022,july,citibank n.a,Other/Cooperative,0.0,6.17,93.83
18,Indian Bank,72,0.9583,0.0417,0.0,2022,july,indian bank,Public Sector,0.0,4.17,95.83
19,Indian Overseas Bank,54,0.8148000000000001,0.1667,0.0185,2022,july,indian overseas bank,Public Sector,1.8499999999999999,16.669999999999998,81.48
20,RBL BANK,50,0.9,0.1,0.0,2022,july,rbl bank,Other/Cooperative,0.0,10.0,90.0
21,UCO Bank,48,0.7292000000000001,0.2708,0.0,2022,july,uco bank,Public Sector,0.0,27.08,72.92
22,Federal Bank,44,0.9773,0.0227,0.0,2022,july,federal bank,Private Sector,0.0,2.27,97.72999999999999
23,Standard Chartered Bank,44,0.8409,0.1591,0.0,2022,july,standard chartered bank,Other/Cooperative,0.0,15.909999999999998,84.09
24,Bank of Maharashtra,43,0.8837,0.1163,0.0,2022,july,bank of maharashtra,Public Sector,0.0,11.63,88.37
25,Karur Vysya Bank Limited,43,0.5581,0.2791,0.1628,2022,july,karur vysya bank limited,Other/Cooperative,16.28,27.91,55.81
26,Rajkot Nagrik Sahakari Bank Ltd.,36,0.7778,0.0556,0.1666,2022,july,rajkot nagrik sahakari bank ltd.,Other/Cooperative,16.66,5.56,77.78
27,The Mehsana Urban Co-operative Bank Limited,36,0.9167,0.0833,0.0,2022,july,the mehsana urban co-operative bank limited,Other/Cooperative,0.0,8.33,91.67
28,Equitas Small Finance Bank,25,0.92,0.08,0.0,2022,july,equitas small finance bank,Other/Cooperative,0.0,8.0,92.0
29,City Union Bank,23,0.9565,0.0435,0.0,2022,july,city union bank,Private Sector,0.0,4.35,95.65
30,South Indian Bank,20,0.95,0.05,0.0,2022,july,south indian bank,Private Sector,0.0,5.0,95.0
31,SVC Co-operative Bank Limited,18,0.8889,0.1110999999999999,0.0,2022,july,svc co-operative bank limited,Other/Cooperative,0.0,11.109999999999989,88.89
32,Bandhan Bank,17,0.9412,0.0,0.0588,2022,july,bandhan bank,Private Sector,5.88,0.0,94.12
33,HSBC Bank,13,0.6923,0.0,0.3077,2022,july,hsbc bank,Other/Cooperative,30.769999999999996,0.0,69.23
34,DBS Bank India Limited,13,0.9167,0.0833,0.0,2022,july,dbs bank india limited,Other/Cooperative,0.0,8.33,91.67
35,DCB Bank,11,1.0,0.0,0.0,2022,july,dcb bank,Private Sector,0.0,0.0,100.0
36,Punjab & Sind Bank,10,0.8,0.2,0.0,2022,july,punjab & sind bank,Other/Cooperative,0.0,20.0,80.0
37,Tamilnad Mercantile Bank,7,0.8571,0.1429,0.0,2022,july,tamilnad mercantile bank,Other/Cooperative,0.0,14.29,85.71
38,The Kalupur Commercial Co-operative Bank Ltd.,6,1.0,0.0,0.0,2022,july,the kalupur commercial co-operative bank ltd.,Other/Cooperative,0.0,0.0,100.0
39,Svc co-operative bank ltd,6,0.8332999999999999,0.1667,0.0,2022,july,svc co-operative bank ltd,Other/Cooperative,0.0,16.669999999999998,83.33
