state,volume_mn,value_cr,ATS,Cluster
MAHARASHTRA,74979.15,9494817.17,1266.327661756635,2
KARNATAKA,39774.41,5524667.04,1389.00037486414,2
UTTAR PRADESH,35449.21,4858636.72,1370.590972267083,2
TELANGANA,30676.11,4975379.79,1621.907011677817,2
TAMIL NADU,25152.88,3942051.9,1567.236793560022,2
RAJASTHAN,19931.28,3030863.37,1520.6566612881863,1
ANDHRA PRADESH,18656.57,3375579.91,1809.3250313428464,0
MADHYA PRADESH,18256.2,2478884.72,1357.831706488755,1
DELHI,16699.66,2157539.41,1291.9660699678916,1
GUJARAT,16487.69,2547543.43,1545.118467171569,1
BIHAR,15730.93,2391475.27,1520.2376909693198,1
WEST BENGAL,14868.75,2355859.59,1584.4368827238336,0
HARYANA,12802.37,1869132.26,1459.9892519900611,1
KERALA,12357.12,1749425.15,1415.7223932437332,1
ODISHA,10561.29,1419019.4,1343.6042377398974,1
PUNJAB,6851.31,1177251.86,1718.2872472563645,0
ASSAM,6413.24,792944.26,1236.4175674074258,1
JHARKHAND,5800.27,797733.52,1375.3385963067235,1
CHHATTISGARH,4655.23,616534.82,1324.3917486354055,1
MAHARASHTRA TOTAL,4492.02,545614.94,1214.6315911327197,1
UTTARAKHAND,3813.87,495004.2,1297.9052773167414,1
UTTAR PRADESH TOTAL,2418.8,323652.48,1338.0704481561102,1
JAMMU AND KASHMIR,2368.45,331353.78,1399.032194050962,1
KARNATAKA TOTAL,2337.48,340061.57,1454.8213032838785,1
HIMACHAL PRADESH,1911.74,251449.98,1315.2938161047005,1
TELANGANA TOTAL,1797.6,284967.83,1585.2683021806854,0
TAMIL NADU TOTAL,1774.59,278663.58,1570.2983787804503,0
ANDHRA PRADESH TOTAL,1269.1799999999998,219825.13,1732.0248506909977,0
RAJASTHAN TOTAL,1131.84,171585.68,1515.988832343794,1
GUJARAT TOTAL,1112.61,169817.55,1526.2989726858464,1
GOA,1111.72,160030.02,1439.4813442233656,1
DELHI TOTAL,1039.77,139006.97,1336.9011415986229,1
WEST BENGAL TOTAL,996.71,147574.74,1480.6186353101702,1
BIHAR TOTAL,991.05,144077.79,1453.789314363554,1
MADHYA PRADESH TOTAL,959.49,130858.88,1363.8378722029413,1
CHANDIGARH,925.63,119665.0,1292.7951773386776,1
KERALA TOTAL,892.21,125908.77,1411.2010625301218,1
HARYANA TOTAL,852.19,124068.84,1455.8823736490683,1
ODISHA TOTAL,632.6400000000001,85637.18,1353.647888214466,1
ARUNACHAL PRADESH,578.61,82882.6,1432.443269214151,1
PUDUCHERRY,575.31,81304.62,1413.2314752046725,1
ASSAM TOTAL,476.93,53114.89,1113.6831400834506,1
PUNJAB TOTAL,470.1,80868.25,1720.2350563709847,0
TRIPURA,427.69,62435.12,1459.8218335710444,1
MEGHALAYA,418.38,60715.58,1451.2065586309095,1
JHARKHAND TOTAL,394.21,54315.36,1377.8280611856624,1
MANIPUR,368.13,82529.63,2241.8610273544678,0
DADRA & NAGAR HAVELI & DAMAN & DIU,349.18,37641.56,1077.99873990492,1
NAGALAND,340.63,60241.23,1768.52391157561,0
MIZORAM,317.02,54017.51,1703.9148949593086,0
CHHATTISGARH TOTAL,296.79999999999995,39165.18,1319.5815363881402,1
UTTARAKHAND TOTAL,248.43,32042.77,1289.8108118987238,1
SIKKIM,240.47,35208.36,1464.1477107331475,1
JAMMU AND KASHMIR TOTAL,180.84,24984.22,1381.5649192656497,1
HIMACHAL PRADESH TOTAL,128.45,16950.24,1319.598287271312,1
ANDAMAN AND NICOBAR,108.5,18287.53,1685.4866359447003,0
LADAKH,105.45,20448.34,1939.15030820294,0
GOA TOTAL,74.4,11268.28,1514.5537634408602,1
CHANDIGARH TOTAL,56.3,7166.889999999999,1272.982238010657,1
ARUNACHAL PRADESH TOTAL,45.19,6272.23,1387.9685771188315,1
PUDUCHERRY TOTAL,40.760000000000005,5831.17,1430.6108930323844,1
MEGHALAYA TOTAL,35.71,4450.81,1246.3763651638194,1
TRIPURA TOTAL,33.53,4576.17,1364.7986877423202,1
MANIPUR TOTAL,30.8,6240.29,2026.068181818182,0
MIZORAM TOTAL,28.880000000000003,4163.51,1441.658587257618,1
NAGALAND TOTAL,27.630000000000003,4091.35,1480.763662685487,1
DADRA & NAGAR HAVELI & DAMAN & DIU TOTAL,21.92,2462.83,1123.5538321167885,1
SIKKIM TOTAL,19.42,2636.41,1357.5746652935118,1
LAKSHADWEEP,15.04,1822.97,1212.081117021277,1
ANDAMAN AND NICOBAR ISLANDS,8.97,1446.04,1612.0847268673351,0
ANDAMAN AND NICOBAR ISLANDS TOTAL,8.969999999999999,1446.04,1612.0847268673358,0
LADAKH TOTAL,7.25,1293.99,1784.8137931034485,0
LAKSHADWEEP TOTAL,1.45,173.53,1196.7586206896551,1
