Date,Banks_Live_Count,Total_Volume_Mn,Total_Value_Cr,P2P_Volume_Mn,P2P_Value_Cr,P2M_Volume_Mn,P2M_Value_Cr,P2M_Volume_Share_Pct,P2M_Value_Share_Pct,Internet_Subscribers_Mn,Is_Diwali,Is_Holi,Is_Eid,Is_Christmas_NewYear,Is_Navratri_Dussehra,Is_Quarter_End,ATS_Overall,ATS_P2P,ATS_P2M,ATS_Divergence,Volume_Growth_MoM_Pct,ATS_P2P_Lag_1,ATS_P2P_Lag_2,ATS_P2P_Lag_3,ATS_P2M_Lag_1,ATS_P2M_Lag_2,ATS_P2M_Lag_3,ATS_Overall_Lag_1,ATS_Overall_Lag_2,ATS_Overall_Lag_3,Internet_Subscribers_Mn_Scaled
2022-04-01,316,5583.05,983302.27,3319.85,805925.89,2263.2,177376.39,40.54,18.04,774.57,0,0,0,0,0,0,1761.227769767421,2427.59730108288,783.7415606221281,1643.8557404607523,3.28,2429.8245942864282,2522.531415651777,2419.742639459532,829.0240870945792,859.7826293358089,885.8236983339965,1776.995661946297,1826.272393754597,1801.9624876817952,0.0
2022-05-01,323,5955.2,1041520.07,3408.55,827153.68,2546.65,214366.39,42.76,20.58,776.93,0,0,1,0,0,0,1748.9254265180011,2426.702498129703,841.7583492038561,1584.944148925847,6.67,2427.59730108288,2429.8245942864282,2522.531415651777,783.7415606221281,829.0240870945792,859.7826293358089,1761.227769767421,1776.995661946297,1826.272393754597,0.010677283626656209
2022-06-01,330,5862.75,1014384.31,3302.67,800412.5,2560.08,213971.81,43.67,21.09,779.3,0,0,0,0,0,1,1730.2192827597971,2423.531566883764,835.8012640229992,1587.7303028607646,-1.55,2426.702498129703,2427.59730108288,2429.8245942864282,841.7583492038561,783.7415606221281,829.0240870945792,1748.9254265180011,1761.227769767421,1776.995661946297,0.021399809980545026
2022-07-01,338,6288.4,1062991.76,3289.15,832265.84,2999.25,230725.92,47.69,21.71,781.67,0,0,0,0,0,0,1690.4009923032888,2530.3371387744555,769.2787196799201,1761.0584190945356,7.26,2423.531566883764,2426.702498129703,2427.59730108288,835.8012640229992,841.7583492038561,783.7415606221281,1730.2192827597971,1748.9254265180011,1761.227769767421,0.03212233633443384
2022-08-01,346,6579.63,1072792.68,3289.26,833370.86,3290.37,239421.82,50.01,22.32,784.03,0,0,0,0,0,0,1630.4756954418408,2533.611997835379,727.6440643453473,1805.9679334900318,4.63,2530.3371387744555,2423.531566883764,2426.702498129703,769.2787196799201,835.8012640229992,841.7583492038561,1690.4009923032888,1730.2192827597971,1748.9254265180011,0.042799619961090496
2022-09-01,358,6780.8,1116438.1,3233.61,862049.27,3547.19,254388.83,52.31,22.79,786.4,0,0,0,0,1,1,1646.4695906087777,2665.903649481539,717.1559177828084,1948.7477316987306,3.06,2533.611997835379,2530.3371387744555,2423.531566883764,727.6440643453473,769.2787196799201,835.8012640229992,1630.4756954418408,1690.4009923032888,1730.2192827597971,0.05352214631497931
2022-10-01,365,7305.42,1211582.51,3436.66,928872.06,3868.76,282710.45,52.96,23.33,788.77,1,0,0,0,1,0,1658.4707107873332,2702.833739735674,730.7521014485262,1972.0816382871478,7.74,2665.903649481539,2533.611997835379,2530.3371387744555,717.1559177828084,727.6440643453473,769.2787196799201,1646.4695906087777,1630.4756954418408,1690.4009923032888,0.06424467266886813
2022-11-01,376,7309.45,1190593.39,3401.49,921601.77,3907.96,268991.61,53.46,22.59,791.13,0,0,0,0,0,0,1628.8412808077214,2709.4060838044506,688.3172038608379,2021.0888799436127,0.06,2702.833739735674,2665.903649481539,2533.611997835379,730.7521014485262,717.1559177828084,727.6440643453473,1658.4707107873332,1646.4695906087777,1630.4756954418408,0.07492195629552523
2022-12-01,382,7829.49,1282055.01,3602.19,991748.31,4227.3,290306.69,53.99,22.64,793.5,0,0,0,1,0,1,1637.4693753999304,2753.1815645482334,686.7425780048732,2066.4389865433604,7.11,2709.4060838044506,2702.833739735674,2665.903649481539,688.3172038608379,730.7521014485262,717.1559177828084,1628.8412808077214,1658.4707107873332,1646.4695906087777,0.0856444826494136
2023-01-01,385,8036.89,1298726.62,3625.95,997781.02,4410.94,300945.6,54.88,23.17,801.32,0,0,0,0,0,0,1615.9566946916036,2751.7782098484536,682.2708991734189,2069.5073106750347,2.65,2753.1815645482334,2709.4060838044506,2702.833739735674,686.7425780048732,688.3172038608379,730.7521014485262,1637.4693753999304,1628.8412808077214,1658.4707107873332,0.1210242953445233
2023-02-01,390,7534.76,1235846.62,3381.56,956834.37,4153.2,279012.26,55.12,22.58,809.15,0,0,0,0,0,0,1640.1937420700858,2829.5649640994097,671.8006838100741,2157.7642802893356,-6.25,2751.7782098484536,2753.1815645482334,2709.4060838044506,682.2708991734189,686.7425780048732,688.3172038608379,1615.9566946916036,1637.4693753999304,1628.8412808077214,0.15644935076686384
2023-03-01,399,8685.3,1410443.01,3859.05,1088096.36,4826.25,322346.66,55.57,22.85,816.98,0,1,0,0,0,1,1623.9427653621638,2819.5964291729833,667.9029474229474,2151.693481750036,15.27,2829.5649640994097,2751.7782098484536,2753.1815645482334,671.8006838100741,682.2708991734189,686.7425780048732,1640.1937420700858,1615.9566946916036,1637.4693753999304,0.19187440618920482
2023-04-01,414,8863.26,1415504.71,3868.39,1086509.94,5029.74,321327.66,56.75,22.7,824.8,0,0,1,0,0,0,1597.0474859137607,2808.68769694886,638.8554080330196,2169.8322889158403,2.05,2819.5964291729833,2829.5649640994097,2751.7782098484536,667.9029474229474,671.8006838100741,682.2708991734189,1623.9427653621638,1640.1937420700858,1615.9566946916036,0.22725421888431363
2023-05-01,445,9415.19,1489145.44,4045.48,1145072.32,5369.7,344073.18,57.03,23.11,832.62,0,0,0,0,0,0,1581.6414113788462,2830.49803731572,640.7679758645735,2189.7300614511464,6.23,2808.68769694886,2819.5964291729833,2829.5649640994097,638.8554080330196,667.9029474229474,671.8006838100741,1597.0474859137607,1623.9427653621638,1640.1937420700858,0.26263403157942333
2023-06-01,458,9335.06,1475464.26,3971.43,1125422.26,5363.63,350042.01,57.46,23.72,840.45,0,0,0,0,0,1,1580.5621602860615,2833.796038202864,652.6214709068299,2181.174567296034,-0.85,2830.49803731572,2808.68769694886,2819.5964291729833,640.7679758645735,638.8554080330196,667.9029474229474,1581.6414113788462,1597.0474859137607,1623.9427653621638,0.2980590870017643
2023-07-01,473,9964.61,1533536.44,4184.42,1148397.97,5780.19,385247.22,58.01,25.12,848.28,0,0,0,0,0,0,1538.9829004848157,2744.4615263286187,666.4957726303114,2077.9657536983073,6.74,2833.796038202864,2830.49803731572,2808.68769694886,652.6214709068299,640.7679758645735,638.8554080330196,1580.5621602860615,1581.6414113788462,1597.0474859137607,0.33348414242410485
2023-08-01,484,10586.02,1576536.56,4388.83,1179095.66,6197.18,397440.9,58.54,25.21,856.1,0,0,0,0,0,0,1489.2627824243673,2686.58312124188,641.3254092990683,2045.2577119428115,6.24,2744.4615263286187,2833.796038202864,2830.49803731572,666.4957726303114,652.6214709068299,640.7679758645735,1538.9829004848157,1580.5621602860615,1581.6414113788462,0.3688639551192141
2023-09-01,492,10555.69,1579133.18,4373.12,1182916.93,6181.57,396216.25,58.56,25.09,863.92,0,0,0,0,0,1,1496.0018530290295,2704.9724910361483,640.9637842813396,2064.008706754809,-0.29,2686.58312124188,2744.4615263286187,2833.796038202864,641.3254092990683,666.4957726303114,652.6214709068299,1489.2627824243673,1538.9829004848157,1580.5621602860615,0.40424376781432336
2023-10-01,505,11408.79,1715768.34,4689.42,1273587.62,6719.37,442180.74,58.9,25.77,871.75,0,0,0,0,1,0,1503.9003610374107,2715.8745004712737,658.0687475165082,2057.8057529547655,8.08,2704.9724910361483,2686.58312124188,2744.4615263286187,640.9637842813396,641.3254092990683,666.4957726303114,1496.0018530290295,1489.2627824243673,1538.9829004848157,0.43966882323666434
2023-11-01,516,11235.29,1739740.61,4649.47,1292866.82,6585.81,446873.79,58.62,25.69,879.58,1,0,0,0,0,0,1548.4607962945327,2780.6756899173456,678.5403617778222,2102.135328139523,-1.52,2715.8745004712737,2704.9724910361483,2686.58312124188,658.0687475165082,640.9637842813396,641.3254092990683,1503.9003610374107,1496.0018530290295,1489.2627824243673,0.4750938786590053
